codgeo,YEAR,Demandeurs_Emploi
01053,janvier_2020,4840
01344,janvier_2020,390
01283,janvier_2020,3010
01262,janvier_2020,610
01202,janvier_2020,630
01071,janvier_2020,320
01173,janvier_2020,1050
01033,janvier_2020,1650
01160,janvier_2020,750
01143,janvier_2020,710
01313,janvier_2020,540
01313,janvier_2020,540
01034,janvier_2020,920
01443,janvier_2020,330
01093,janvier_2020,360
01451,janvier_2020,450
01194,janvier_2020,470
01004,janvier_2020,1650
01427,janvier_2020,620
01322,janvier_2020,300
01354,janvier_2020,880
01249,janvier_2020,730
01419,janvier_2020,350
01244,janvier_2020,630
01289,janvier_2020,460
02408,janvier_2020,3800
02691,janvier_2020,8020
02095,janvier_2020,910
02361,janvier_2020,690
02722,janvier_2020,4280
02173,janvier_2020,1570
02168,janvier_2020,2300
02340,janvier_2020,550
02381,janvier_2020,1320
02810,janvier_2020,1300
02738,janvier_2020,1880
03190,janvier_2020,2570
03185,janvier_2020,4350
03310,janvier_2020,3290
03095,janvier_2020,1380
03321,janvier_2020,1030
03101,janvier_2020,720
03254,janvier_2020,420
03082,janvier_2020,690
03023,janvier_2020,820
03118,janvier_2020,590
04070,janvier_2020,1910
04112,janvier_2020,3000
04049,janvier_2020,580
04209,janvier_2020,830
04088,janvier_2020,660
04143,janvier_2020,550
05061,janvier_2020,3810
05023,janvier_2020,1550
05046,janvier_2020,750
06088,janvier_2020,41570
06030,janvier_2020,5160
06069,janvier_2020,5370
06157,janvier_2020,1720
06104,janvier_2020,1250
06079,janvier_2020,2710
06079,janvier_2020,2710
06155,janvier_2020,3420
06159,janvier_2020,400
06012,janvier_2020,1000
06085,janvier_2020,1780
06161,janvier_2020,1700
06105,janvier_2020,480
06054,janvier_2020,450
06149,janvier_2020,850
06084,janvier_2020,860
06048,janvier_2020,530
06029,janvier_2020,10030
06018,janvier_2020,750
06044,janvier_2020,670
06083,janvier_2020,3210
06033,janvier_2020,1100
06095,janvier_2020,720
06108,janvier_2020,440
06152,janvier_2020,1020
06090,janvier_2020,730
06004,janvier_2020,8650
06065,janvier_2020,530
06075,janvier_2020,390
06123,janvier_2020,2830
06114,janvier_2020,430
06027,janvier_2020,4780
07186,janvier_2020,940
07010,janvier_2020,2200
07281,janvier_2020,590
07019,janvier_2020,1750
07324,janvier_2020,1400
07319,janvier_2020,1150
07102,janvier_2020,860
07042,janvier_2020,950
07349,janvier_2020,630
08105,janvier_2020,6060
08081,janvier_2020,610
08409,janvier_2020,2480
08362,janvier_2020,780
08363,janvier_2020,940
08190,janvier_2020,800
08328,janvier_2020,710
09122,janvier_2020,1220
09225,janvier_2020,2080
